rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id,rally_length
4922,9,00:23:44,42724,6,7,2,long service,0,0,1,9,0.46097561,1.60390625,,,8,163.1,304.84,8,232.2,697.1,0,0,4921,13
4922,10,00:30:24,54725,21,17,0,short service,0,1,2,1,1.202439024,0.52765625,,,8,164.1,311.43,8,236.4,672.21,0,0,4921,13
4922,11,00:55:49,100492,6,3,2,drop,0,1,2,1,1,0.598385417,,,8,218.9,281.37,8,197.2,687.96,0,0,4921,13
4922,12,01:04:58,116947,17,17,0,net shot,0,0,2,2,1.312195122,-0.446822917,,,8,229.6,601.92,8,180.3,290.97,0,0,4921,13
4922,13,00:35:44,64328,12,6,2,defensive shot,0,0,2,1,1.234146341,0.443697917,opponent's ball landed,0,8,132.7,255.11,9,229,768.8,0,0,4921,13
4923,1,00:38:27,69234,20,18,2,drop,0,0,2,1,1.032926829,0.613958333,,,9,116.2,193.67,8,156,649.54,0,0,4922,46
4923,2,00:38:31,69337,7,3,1,drive,0,1,1,5,1.167073171,1.130364583,,,8,226.3,263.76,8,232.4,725.76,0,0,4922,46
4923,3,00:08:28,15253,5,1,2,defensive shot,0,1,2,7,0.5,0.487135417,,,8,154,320.95,9,223.4,768.48,0,0,4922,46
4923,4,00:40:10,72306,8,5,1,drop,0,0,2,1,1.245121951,0.536666667,,,9,111,163.55,8,188.1,655.64,0,0,4922,46
4923,5,00:52:32,94577,10,11,2,clear,1,0,1,5,1.187804878,1.39671875,,,8,247,210.17,8,207.9,698.91,0,0,4922,46
4923,6,00:38:32,69366,7,3,1,drive,0,0,1,8,-0.820731707,0.943958333,,,8,200.7,264.09,8,207,639.97,0,0,4922,46
4923,7,00:15:25,27765,11,5,2,smash,0,0,2,5,-1.214634146,-0.977083333,,,8,121.8,707.28,8,126.5,292.31,0,0,4922,46
4923,8,00:48:31,87359,16,11,1,net shot,0,1,2,1,1.273170732,0.331875,,,8,246.1,336.53,8,127.1,720.46,0,0,4922,46
4923,9,00:06:44,12122,3,0,2,drop,0,0,2,2,-1.167073171,0.3028125,,,8,108.3,254.86,8,201.7,712.83,0,0,4922,46
4923,10,00:42:32,76572,11,6,1,lob,0,0,1,8,-0.754878049,1.406614583,,,8,109.6,361.02,8,140,608.06,0,0,4922,46
4923,11,00:27:52,50183,19,14,2,net shot,0,0,2,1,-1.47195122,-0.348177083,,,8,223.3,684.22,8,217.7,244.53,0,0,4922,46
4923,12,00:37:28,67450,5,3,1,push/rush,0,0,1,5,1.103658537,1.122708333,,,8,181.6,323.15,8,142.3,669.56,0,0,4922,46
4923,13,00:19:11,34557,9,9,2,defensive shot,0,1,2,5,1.38902439,0.731145833,,,8,188.7,281.8,8,235.3,707.38,0,0,4922,46
4923,14,00:27:06,48793,16,17,1,lob,0,0,1,4,1.203658537,-1.461927083,,,8,225.8,597.64,8,162.6,254.38,0,0,4922,46
4923,15,00:31:23,56507,1,0,2,drop,0,0,2,2,-1.253658537,0.462291667,,,8,123.6,255.35,8,145.8,653.69,0,0,4922,46
4923,16,00:38:37,69516,7,3,1,defensive shot,0,1,2,1,1.459756098,0.53609375,,,8,152.6,257.07,6,99.3,751.93,0,0,4922,46
4923,17,00:48:10,86728,16,13,2,smash,0,0,2,8,0.904878049,-0.776979167,,,6,92.6,743.96,8,127.4,243.48,0,0,4922,46
4923,18,00:42:28,76457,11,6,1,net shot,0,1,2,7,0.123170732,0.248541667,,,8,200.4,313.4,8,159.1,735.6,0,0,4922,46
4923,19,00:23:53,42995,18,9,2,short service,0,1,2,8,-0.364634146,0.674635417,,,8,179.2,335.42,8,131.9,695.66,0,0,4922,46
4923,20,00:40:07,72233,8,5,1,defensive shot,0,1,2,1,1.080487805,0.360989583,,,8,168.9,238.79,5,269.5,748.89,0,0,4922,46
4923,21,00:18:32,33373,12,6,2,smash,0,0,2,6,1.158536585,-0.951875,,,5,278.5,739.93,8,175.6,279.02,0,0,4922,46
4923,22,00:37:18,67147,5,3,1,net shot,0,0,2,1,1.326829268,0.244791667,,,8,226.1,343.73,8,184.4,640.07,0,0,4922,46
4923,23,01:02:15,112079,19,18,2,defensive shot,0,1,2,7,-0.130487805,0.549322917,,,8,160.2,296.5,8,231.5,716.42,0,0,4922,46
4923,24,00:11:04,19942,5,6,1,defensive shot,0,1,2,7,-0.065853659,-0.1390625,,,8,204.5,661.71,9,194.6,203.87,0,0,4922,46
4923,25,00:40:02,72063,12,2,2,drop,0,0,2,1,1.470731707,0.611041667,,,9,198.4,192.54,8,204.7,645.3,0,0,4922,46
4923,26,00:42:25,76352,11,6,1,short service,0,1,2,7,0.314634146,0.484375,,,8,170.8,277.05,8,215.2,660.14,0,0,4922,46
4923,27,00:13:28,24248,9,5,2,defensive shot,0,1,2,10,1.87804878,0.840364583,out,2,8,116,305.86,2,80,593.64,0,0,4922,46
4923,28,00:09:53,17796,3,6,1,lob,0,1,1,9,0.892682927,-1.374427083,,,2,99.9,586.54,8,162.9,325.73,0,0,4922,46
4923,29,00:30:17,54535,19,17,2,smash,0,0,2,2,-1.046341463,0.660416667,,,8,229.7,217.92,8,214.9,642.82,0,0,4922,46
4923,30,00:37:28,67450,5,3,1,push/rush,0,0,1,5,1.103658537,1.122708333,,,8,181.6,323.15,8,142.3,669.56,0,0,4922,46
4923,31,00:33:16,59887,13,15,2,clear,1,0,1,9,-0.462195122,1.6303125,,,8,206.5,212.81,8,148.2,704.32,0,0,4922,46
4923,32,00:42:32,76572,11,6,1,lob,0,0,1,8,-0.754878049,1.406614583,,,8,109.6,361.02,8,140,608.06,0,0,4922,46
4923,33,00:25:43,46292,19,12,2,net shot,0,1,2,7,0.02804878,0.345833333,,,8,225.7,340.38,8,219.3,738.67,0,0,4922,46
4923,34,00:24:22,43871,14,15,1,short service,0,1,2,7,0.624390244,-0.384583333,,,8,171.6,641.71,8,232.2,235.32,0,0,4922,46
4923,35,00:30:54,55630,10,14,2,long service,0,0,1,4,-1.129268293,1.639635417,,,8,182.2,310.48,8,133,691.89,0,0,4922,46
4923,36,00:48:19,86988,16,11,1,short service,0,1,2,7,-0.51097561,0.440520833,,,8,182.3,313.62,8,121.2,671.14,0,0,4922,46
4923,37,00:20:00,36025,14,7,2,long service,0,0,1,4,-1.406097561,1.63,,,8,182.3,330.79,8,110,747.24,0,0,4922,46
4923,38,00:42:26,76399,11,6,1,defensive shot,0,1,1,8,-0.257317073,1.490364583,,,8,174.6,230.85,8,207.6,597.74,0,0,4922,46
4923,39,00:52:20,94202,20,12,2,smash,1,0,2,5,-1.120731707,-0.916822917,,,8,155.6,679.82,8,177.1,294.65,0,0,4922,46
4923,40,00:39:59,71973,8,5,1,drop,1,0,2,1,1.231707317,0.264583333,,,8,230.6,227.45,8,221.7,655.5,0,0,4922,46
4923,41,00:31:18,56349,1,0,2,drop,0,0,2,6,-0.914634146,0.792916667,,,8,236.2,221.2,8,202.9,689.82,0,0,4922,46
4923,42,00:42:25,76352,11,6,1,short service,0,1,2,7,0.314634146,0.484375,,,8,170.8,277.05,8,215.2,660.14,0,0,4922,46
4923,43,01:01:38,110948,21,19,2,clear,1,0,1,3,-0.981707317,-1.642447917,,,8,123.6,699.83,8,206.4,229.16,0,0,4922,46
4923,44,00:40:49,73471,9,5,1,drive,0,1,2,10,0.652439024,1.8259375,out,0,8,132.3,299.72,8,115.3,666.64,0,0,4922,46
4923,45,01:00:06,108185,17,18,2,net shot,0,0,2,2,-0.879268293,0.406458333,,,8,201.7,356.17,8,198.1,723.4,0,0,4922,46
4923,46,00:48:48,87868,16,11,1,defensive shot,0,1,2,7,-0.025609756,0.0390625,touched the net,2,8,216.6,320.38,8,214.5,652.44,0,0,4922,46
4924,1,00:27:37,49736,5,3,3,clear,1,0,1,3,1.048780488,1.58453125,,,3,84.1,168.54,8,151.2,649.91,0,0,4923,4
4924,2,00:29:39,53378,10,10,0,push/rush,0,1,1,4,0.992682927,-1.470260417,,,8,109.8,629.07,8,134.7,294.09,0,0,4923,4
4924,3,00:36:58,66553,9,3,3,drop,0,0,2,6,-1.109756098,0.696666667,,,8,233.9,211.22,8,208.5,656.82,0,0,4923,4
4924,4,00:49:38,89342,8,5,0,defensive shot,0,0,2,10,-2.146341463,-0.56921875,not pass over the net,0,8,125.3,289.28,8,135.8,745.55,0,0,4923,4
4925,1,00:11:11,20131,3,0,3,drop,0,0,2,2,1.18902439,-0.493541667,,,9,119.7,776.28,8,177.4,291.9,0,0,4924,3
4925,2,00:38:33,69409,7,3,1,net shot,0,0,2,1,1.22195122,0.16625,,,8,151.2,353.75,8,170.6,633.81,0,0,4924,3
4925,3,00:15:45,28367,13,11,3,defensive shot,0,0,2,7,0.397560976,0.076197917,touched the net,1,8,192.1,680.29,8,200.9,302.13,0,0,4924,3
4926,1,00:37:46,67998,11,18,3,net shot,0,0,2,7,0.024390244,0.300104167,,,8,218.9,311.89,8,185.1,653.29,0,0,4925,53
4926,2,00:52:00,93617,19,15,2,push/rush,0,1,1,5,1.384146341,1.414479167,,,8,232.7,338.2,8,213.3,649.21,0,0,4925,53
4926,3,00:09:59,17985,1,0,3,clear,1,0,1,9,-0.57804878,-1.412135417,,,8,186.7,725.54,8,156.9,266.85,0,0,4925,53
4926,4,00:32:43,58907,20,19,2,defensive shot,0,0,2,7,-0.198780488,0.6653125,,,8,131.6,297.83,8,128.2,728.53,0,0,4925,53
4926,5,00:17:57,32323,15,14,3,push/rush,0,1,1,9,0.83902439,-1.40421875,,,8,201,661.04,8,208.5,255.05,0,0,4925,53
4926,6,00:37:45,67970,11,18,2,defensive shot,0,0,2,8,0.918292683,-0.576302083,,,8,190.9,660.94,8,218.7,244.87,0,0,4925,53
4926,7,00:13:11,23741,6,2,3,net shot,0,0,2,8,0.57195122,-0.531927083,,,8,138.2,665.36,8,190.6,244.55,0,0,4925,53
4926,8,00:29:46,53594,18,17,2,clear,0,0,1,5,1.168292683,1.093020833,,,8,208.6,215.51,8,178.6,624.45,0,0,4925,53
4926,9,00:19:56,35880,17,15,3,short service,0,1,2,8,0.325609756,-0.698072917,,,8,168.6,650.08,8,233.4,295.12,0,0,4925,53
4926,10,00:22:32,40575,15,11,2,smash,1,0,2,5,-0.934146341,-0.954947917,,,8,142.5,682.14,8,123.5,271.51,0,0,4925,53
4926,11,00:08:18,14961,4,1,3,push/rush,0,1,1,9,-0.863414634,-1.409895833,,,8,198.1,630.14,8,193.5,254.93,0,0,4925,53
4926,12,00:26:14,47235,14,16,2,smash,0,0,2,6,-1.117073171,0.96765625,,,8,141.9,259.24,8,132.1,619.81,0,0,4925,53
4926,13,00:15:42,28278,13,11,3,defensive shot,0,1,1,6,0.973170732,-1.02296875,,,8,170.6,645.48,8,149.6,249.46,0,0,4925,53
4926,14,00:14:49,26684,12,10,2,push/rush,0,0,1,8,0.856097561,1.482552083,,,8,160.7,299.38,8,137.5,695.69,0,0,4925,53
4926,15,00:41:39,74987,14,6,3,long service,0,1,1,8,0.517073171,1.27578125,,,8,171.4,334.58,8,223,685.02,0,0,4925,53
4926,16,00:53:34,96437,21,17,2,push/rush,0,0,1,6,1.435365854,-1.229322917,,,8,243.8,618.57,8,143.6,249.03,0,0,4925,53
4926,17,00:36:58,66553,9,3,3,drop,0,0,2,6,-1.109756098,0.696666667,,,8,233.9,211.22,8,208.5,656.82,0,0,4925,53
4926,18,00:15:52,28564,9,5,2,short service,0,1,2,7,0.419512195,-0.52359375,,,8,166.4,629.76,8,226.3,270.57,0,0,4925,53
4926,19,00:33:57,61135,4,2,3,drop,0,0,2,2,-0.98902439,0.495104167,,,8,171.7,231.27,8,167,651.98,0,0,4925,53
4926,20,00:20:47,37437,12,9,2,short service,0,1,2,7,0.454878049,0.61640625,,,8,168.4,343.99,8,229.9,684.93,0,0,4925,53
4926,21,00:37:24,67338,10,3,3,defensive shot,0,1,1,6,-1.192682927,1.1759375,,,8,170.7,296.65,5,270.8,751.29,0,0,4925,53
4926,22,00:24:34,44232,19,9,2,drop,0,0,2,7,0.875609756,0.4109375,,,5,69.5,243.14,8,143.8,723.85,0,0,4925,53
4926,23,00:41:42,75063,14,6,3,defensive shot,0,1,1,8,0.546341463,1.1203125,,,8,182.3,277.23,6,101.6,609.06,0,0,4925,53
4926,24,00:20:10,36325,17,6,2,clear,0,1,1,8,-0.82195122,-1.274114583,,,6,90,752.43,8,152.3,268.44,0,0,4925,53
4926,25,00:44:01,79245,15,9,3,short service,0,1,2,7,-0.352439024,0.595416667,,,8,182.2,327.76,8,132.1,683,0,0,4925,53
4926,26,00:27:03,48697,21,14,2,clear,1,0,1,8,-0.63902439,1.22515625,,,8,203.7,222.82,8,193.1,712.88,0,0,4925,53
4926,27,00:11:00,19826,3,0,3,short service,0,1,2,7,-0.326829268,-0.467916667,,,8,179.6,631.99,8,131,276.41,0,0,4925,53
4926,28,01:03:14,113843,21,18,2,clear,0,0,1,8,0.879268293,1.388229167,,,8,110.6,223.96,8,178.6,719.99,0,0,4925,53
4926,29,00:14:40,26406,12,10,3,net shot,0,0,2,2,0.985365854,-0.290729167,,,8,128.2,602.1,8,174.7,316.28,0,0,4925,53
4926,30,00:17:09,30882,12,6,2,defensive shot,0,0,2,2,0.967073171,-0.23375,,,8,245.4,672.31,8,223.1,216.21,0,0,4925,53
4926,31,00:17:37,31730,15,13,3,smash,1,0,2,8,0.296341463,-1.171197917,,,8,231.2,664.34,8,206.6,287.57,0,0,4925,53
4926,32,00:13:21,24042,8,4,2,clear,0,1,1,4,1.057317073,-1.529895833,,,8,110.6,714.11,8,163.6,302.55,0,0,4925,53
4926,33,00:17:24,31335,9,6,3,clear,1,0,1,5,-0.967073171,-1.126770833,,,8,191.3,726.93,8,165,271.98,0,0,4925,53
4926,34,00:49:55,89857,18,14,2,drop,0,0,2,6,1.051219512,-0.738020833,,,8,161.8,725.05,8,191.2,323.23,0,0,4925,53
4926,35,00:11:58,21544,10,7,3,short service,0,1,2,8,-0.82195122,-0.570833333,,,8,187.8,626.87,8,132.4,264.57,0,0,4925,53
4926,36,00:22:04,39740,12,11,2,clear,0,0,1,6,-0.893902439,1.34796875,,,8,202.3,215.6,8,166.4,634.91,0,0,4925,53
4926,37,00:23:22,42065,16,10,3,defensive shot,0,1,1,8,0.604878049,-1.142291667,,,8,128.6,691.66,8,183.2,362.09,0,0,4925,53
4926,38,00:19:32,35184,3,2,2,push/rush,0,1,1,8,-0.614634146,1.048125,,,8,181.1,299.43,8,235.2,700.64,0,0,4925,53
4926,39,00:29:38,53359,6,6,3,short service,0,1,1,2,-1.145121951,0.588541667,,,8,188.1,302.03,8,123.9,660.29,0,0,4925,53
4926,40,00:25:51,46535,14,15,2,net shot,0,1,2,7,0.335365854,0.2915625,,,8,150.7,292.51,8,164.3,731.14,0,0,4925,53
4926,41,00:23:53,43006,1,0,3,net shot,0,0,2,2,-1.319512195,0.332708333,,,8,193.5,306.89,8,185.1,659.37,0,0,4925,53
4926,42,00:32:08,57854,19,19,2,long service,0,0,1,8,0.9,1.463802083,,,8,161.9,317.28,8,230,686.97,0,0,4925,53
4926,43,00:37:24,67338,10,3,3,defensive shot,0,1,1,6,-1.192682927,1.1759375,,,8,170.7,296.65,5,270.8,751.29,0,0,4925,53
4926,44,01:02:27,112421,19,18,2,clear,0,0,1,6,-1.012195122,1.495208333,,,5,76.4,205.53,8,151.3,700.78,0,0,4925,53
4926,45,00:18:41,33649,16,14,3,push/rush,0,1,1,5,-0.868292683,-1.2021875,,,8,245,638.44,8,231.9,267.9,0,0,4925,53
4926,46,00:10:18,18544,0,1,2,clear,1,0,1,5,-0.881707317,-1.194479167,,,8,112,755.78,8,142.7,249.53,0,0,4925,53
4926,47,00:47:59,86378,19,12,3,defensive shot,0,1,2,7,-0.004878049,0.34265625,,,8,166.2,272,8,155.4,686.05,0,0,4925,53
4926,48,00:51:13,92196,8,11,2,long service,0,0,1,9,-0.663414634,1.655572917,,,8,191,318.74,8,126.1,716.63,0,0,4925,53
4926,49,00:33:01,59456,8,11,3,net shot,0,0,2,7,0.693902439,0.1075,,,8,217.2,358.33,8,198.4,639.55,0,0,4925,53
4926,50,00:19:38,35364,9,10,2,defensive shot,0,0,1,6,-1.184146341,1.13828125,,,8,115.4,305.57,8,212.4,741.06,0,0,4925,53
4926,51,00:23:23,42108,16,10,3,defensive shot,0,1,2,6,1.023170732,-0.659010417,,,8,163.9,684.65,8,184.2,269.8,0,0,4925,53
4926,52,00:46:57,84534,14,6,2,clear,0,1,1,9,-0.02195122,-1.422083333,,,8,114.1,716.5,8,124.6,361.09,0,0,4925,53
4926,53,00:26:30,47728,18,12,3,defensive shot,0,0,2,7,0.086585366,0.130989583,not pass over the net,3,8,128,648.65,8,186.2,257.24,0,0,4925,53
4927,1,00:49:05,88365,13,13,4,push/rush,0,1,1,8,0.619512195,-1.19375,,,6,97.2,654.06,8,114.6,312.16,0,0,4926,23
4927,2,00:23:31,42359,15,15,0,net shot,0,1,2,1,-1.198780488,-0.25265625,,,8,125.4,607.27,8,193.2,247.69,0,0,4926,23
4927,3,01:07:15,121052,12,5,4,net shot,0,0,2,1,1.491463415,0.556666667,,,8,181.7,279.88,8,146.4,652.06,0,0,4926,23
4927,4,00:26:38,47942,17,18,0,defensive shot,0,1,2,1,-1.062195122,-0.2653125,,,8,187.3,686.96,3,87.9,194.56,0,0,4926,23
4927,5,00:56:00,100809,19,21,4,drop,0,0,1,2,-1.080487805,0.493125,,,3,102.6,175.39,8,152.6,637.91,0,0,4926,23
4927,6,00:40:47,73418,9,5,0,net shot,0,1,2,1,-1.27804878,-0.39921875,,,8,123.1,596.53,8,154.8,292.11,0,0,4926,23
4927,7,00:09:11,16537,2,2,4,net shot,0,0,2,2,-1.225609756,0.381770833,,,8,112.9,335.58,8,150,663.42,0,0,4926,23
4927,8,00:41:58,75561,21,18,0,drop,1,0,2,5,-1.319512195,-0.645989583,,,8,124.3,729.14,8,136.4,286.64,0,0,4926,23
4927,9,00:31:13,56196,21,15,4,smash,1,0,2,5,1.192682927,1.063020833,,,8,222.5,205.55,8,186.4,685.84,0,0,4926,23
4927,10,00:36:17,65310,15,13,0,short service,0,1,2,1,-1.245121951,-0.375885417,,,8,184.5,630.15,8,136.1,274.11,0,0,4926,23
4927,11,00:11:28,20666,6,2,4,drop,1,0,2,2,-1.019512195,0.6328125,,,8,208.4,258.88,8,209.5,703.66,0,0,4926,23
4927,12,00:33:34,60444,12,13,0,net shot,0,0,2,2,1.396341463,-0.221145833,,,8,233.4,595.17,8,205.2,345.79,0,0,4926,23
4927,13,00:30:34,55031,20,15,4,net shot,0,0,2,2,-1.181707317,0.4678125,,,8,124.4,362.51,8,175.6,681.96,0,0,4926,23
4927,14,00:14:39,26393,9,7,0,short service,0,1,2,7,-0.185365854,-0.35578125,,,8,186.2,629.27,8,124.7,284.83,0,0,4926,23
4927,15,00:37:32,67580,14,19,4,push/rush,0,0,1,3,-1.274390244,-1.48609375,,,8,224,608.7,8,241.4,257.06,0,0,4926,23
4927,16,00:42:33,76607,11,6,0,smash,0,0,2,6,1.418292683,-0.830625,,,8,111.8,709.22,8,139,299.64,0,0,4926,23
4927,17,01:07:41,121844,12,5,4,net shot,0,1,2,2,-1.012195122,0.483697917,,,8,215.4,266.81,8,149.8,714.26,0,0,4926,23
4927,18,00:43:35,78460,12,10,0,net shot,0,0,2,7,-0.158536585,0.261197917,,,8,123.5,336.31,8,158,665.64,0,0,4926,23
4927,19,00:47:50,86117,13,12,4,short service,0,1,2,7,-0.426829268,-0.387291667,,,8,182.2,655.13,8,123.6,304.86,0,0,4926,23
4927,20,00:49:59,89990,20,15,0,defensive shot,0,1,2,7,0.480487805,0.52578125,,,8,157.4,313.15,9,211.1,781.66,0,0,4926,23
4927,21,00:19:40,35403,20,12,4,clear,0,1,1,6,-0.890243902,1.498697917,,,9,218.2,173.91,8,197.5,617.01,0,0,4926,23
4927,22,01:07:19,121193,19,18,0,net shot,0,1,2,5,-0.952439024,-0.56390625,,,8,195.8,641.24,8,160,303.55,0,0,4926,23
4927,23,00:54:20,97808,18,20,4,smash,0,0,2,6,-1.306097561,1.253072917,opponent's ball landed,4,8,140.5,213.17,8,126.8,630.14,0,0,4926,23
4928,1,00:38:16,68897,5,4,4,clear,1,0,1,5,-1.05,-1.209166667,,,9,120.7,784.65,8,151.5,292.31,0,0,4927,25
4928,2,00:27:06,48793,16,17,1,lob,0,0,1,4,1.203658537,-1.461927083,,,8,225.8,597.64,8,162.6,254.38,0,0,4927,13
4928,3,00:21:30,38724,12,10,4,defensive shot,0,0,2,1,1.162195122,0.478125,,,8,119.3,277.99,9,144.1,777.14,0,0,4927,47
4928,4,00:28:42,51683,18,17,1,drop,0,0,2,1,-1.02195122,-0.434583333,,,9,246.3,764.85,8,173.3,238.73,0,0,4927,22
4928,5,00:15:38,28165,10,4,4,drop,0,0,2,2,-0.981707317,0.501041667,,,8,140.1,265.08,8,204,673.98,0,0,4927,14
4928,6,00:38:29,69293,7,3,1,push/rush,0,1,2,3,1.354878049,1.509739583,,,8,127.5,349.42,8,170.6,635.39,0,0,4927,14
4928,7,00:36:49,66287,13,18,4,push/rush,0,0,1,3,-0.974390244,-1.44453125,,,8,195.9,650.67,8,183.5,314.98,0,0,4927,6
4928,8,00:24:27,44021,14,15,1,defensive shot,0,1,2,7,-0.712195122,-0.458958333,,,8,187.7,682.84,3,102.5,166.5,0,0,4927,14
4928,9,00:48:03,86518,13,12,4,drop,0,0,2,1,-1.362195122,-0.517135417,,,3,265,785.79,8,173.8,304.11,0,0,4927,19
4928,10,00:37:18,67147,5,3,1,net shot,0,0,2,1,1.326829268,0.244791667,,,8,226.1,343.73,8,184.4,640.07,0,0,4927,15
4928,11,00:11:34,20839,6,2,4,defensive shot,0,0,2,2,-0.956097561,0.450104167,,,8,131.7,307.14,9,125,771.7,0,0,4927,22
4928,12,00:37:20,67217,5,3,1,smash,0,0,2,5,1.042682927,1.10734375,,,9,156.5,182.48,8,186.8,646.34,0,0,4927,15
4928,13,00:08:58,16160,5,2,4,drive,0,0,1,6,-1.226829268,1.029739583,,,8,132.7,245.48,8,194,673.75,0,0,4927,19
4928,14,00:44:05,79370,12,7,1,short service,0,1,2,7,-0.6,0.613020833,,,8,178.7,289.36,8,116,672.67,0,0,4927,12
4928,15,00:11:38,20962,6,2,4,push/rush,0,0,2,10,-1.579268293,1.54109375,out,10,8,117.9,344.66,8,228,693.48,0,0,4927,22
4928,16,00:35:55,64652,3,1,1,push/rush,0,0,1,5,0.940243902,1.325625,,,8,107.4,302.45,6,84.3,735.78,0,0,4927,10
4928,17,00:36:59,66584,3,3,4,drive,0,1,2,5,-1.268292683,-0.878125,,,6,104.7,745.9,8,163.7,294.57,0,0,4927,11
4928,18,00:37:26,67394,5,3,1,defensive shot,0,0,1,6,-1.158536585,1.385677083,,,8,124.6,285.09,10,307.4,747.47,0,0,4927,15
4929,1,00:08:31,15350,0,2,4,net shot,0,0,2,2,-1.226829268,0.3021875,,,1,89.9,414.06,8,145.2,671.49,0,0,4928,31
4929,2,00:39:44,71525,10,9,2,drop,0,0,2,5,-1.097560976,-0.90625,,,8,143.6,748.17,8,167.5,295.11,0,0,4928,31
4929,3,00:06:55,12458,1,1,4,push/rush,0,0,1,6,-1.229268293,1.154895833,,,8,124.6,318.01,8,138,670.76,0,0,4928,31
4929,4,00:57:06,102800,8,4,2,drop,0,0,2,2,-1.074390244,0.553697917,,,8,109.5,210.15,8,152,657.45,0,0,4928,31
4929,5,00:54:16,97699,16,12,4,short service,0,1,2,6,1.117073171,-0.563802083,,,8,166.9,636.49,8,223,299.97,0,0,4928,31
4929,6,00:47:29,85471,15,13,2,net shot,0,0,2,2,1.336585366,-0.243802083,,,8,246.6,617.07,8,229.1,237.13,0,0,4928,31
4929,7,00:16:06,28995,16,7,4,net shot,0,1,2,1,1.119512195,0.440260417,,,8,222.2,307.3,8,201.7,697.55,0,0,4928,31
4929,8,00:12:50,23116,12,18,2,drop,0,0,2,1,-1.243902439,-0.225,,,8,125,735.53,8,143.4,262.39,0,0,4928,31
4929,9,00:34:45,62552,1,2,4,lob,0,0,1,3,-1.148780488,-1.478958333,,,8,194.4,595.61,8,170.6,341.67,0,0,4928,31
4929,10,00:35:48,64444,17,17,2,long service,0,0,1,6,-1.08902439,1.47796875,,,8,184.3,324.12,8,128.9,690.1,0,0,4928,31
4929,11,00:25:24,45726,15,12,4,smash,1,0,2,5,1.304878049,1.158802083,,,8,225.2,210.99,8,194.8,712.41,0,0,4928,31
4929,12,00:37:39,67786,11,1,2,drop,1,0,2,8,-0.797560976,0.783541667,,,8,202.9,243.97,8,177.1,652.28,0,0,4928,31
4929,13,01:07:46,121987,12,5,4,net shot,0,0,2,2,-1.119512195,0.343854167,,,8,136.2,326.66,8,192.3,705.48,0,0,4928,31
4929,14,00:12:32,22578,6,4,2,smash,0,0,2,10,1.653658537,-1.010052083,out,14,8,133.8,729.34,8,146.3,292.22,0,0,4928,31
4929,15,01:07:14,121020,12,5,4,drive,0,0,2,6,-0.9,0.9734375,,,8,141.9,226.49,8,144.7,636.38,0,0,4928,31
4929,16,00:32:05,57759,2,0,2,push/rush,0,0,1,8,-0.795121951,0.969791667,,,8,137.2,353.63,8,170.1,671.98,0,0,4928,31
4929,17,00:14:15,25663,9,3,4,smash,1,0,2,8,0.354878049,1.064114583,,,8,203.8,208.63,8,193.3,687.12,0,0,4928,31
